acres	many	-0.510826
acres	six	-1.609438
acres	sixty-seven	-1.609438
acronym	an	0.000000
across	and	-3.688879
across	back	-3.688879
across	booking	-3.688879
across	came	-2.995732
across	drive	-3.688879
across	falling	-3.688879
across	fourth	-3.688879
across	girlfriend	-3.688879
across	going	-3.688879
across	happened	-3.688879
across	house	-2.995732
across	job	-3.688879
across	lived	-2.079442
across	look	-3.688879
across	point	-3.688879
across	right	-1.742969
across	run	-3.688879
across	then	-3.688879
across	together	-3.688879
across	traveling	-3.688879
across	tree	-3.688879
across	twins	-3.688879
across	walking	-2.995732
across	way	-2.995732
across	went	-3.688879
across	works	-3.688879
act	and	-2.484907
act	big	-2.484907
act	didn't	-2.484907
act	not	-2.484907
act	to	-0.875469
act	where	-2.484907
act	would	-2.484907
act	you	-2.484907
acted	he	-0.182322
acted	of	-1.791759
acting	also	-1.386294
acting	around	-1.386294
acting	just	-1.386294
acting	know	-1.386294
action	tiny	0.000000
activate	also	0.000000
active	more	-1.098612
active	very	-0.405465
activities	other	-0.693147
activities	um	-0.693147
acts	he	0.000000
actual	an	-1.252763
actual	the	-0.559616
actual	they're	-1.945910
actually	act	-4.897840
actually	also	-4.897840
actually	and	-2.332890
actually	books	-4.897840
actually	but	-3.511545
actually	cherryville	-4.897840
actually	children	-4.897840
actually	college	-4.897840
actually	cool	-4.897840
actually	could	-4.897840
actually	dad	-4.897840
actually	definition	-4.897840
actually	didn't	-4.897840
actually	even	-4.204693
actually	fed	-4.897840
actually	fl	-4.897840
actually	girl	-4.897840
actually	guess	-4.897840
actually	had	-4.204693
actually	have	-4.897840
actually	he	-3.799228
actually	husband	-4.897840
actually	i'd	-4.897840
actually	i've	-3.799228
actually	in	-4.204693
actually	into	-4.897840
actually	is	-3.799228
actually	it	-4.204693
actually	it's	-4.204693
actually	know	-4.204693
actually	left	-4.897840
actually	married	-4.897840
actually	mother	-4.897840
actually	no	-4.897840
actually	of	-4.897840
actually	office	-4.897840
actually	or	-3.799228
actually	over	-4.897840
actually	parents	-4.897840
actually	poem	-4.897840
actually	praying	-4.897840
actually	remember	-4.897840
actually	room	-4.897840
actually	she	-4.204693
actually	she'd	-4.897840
actually	so	-4.897840
actually	story	-4.204693
actually	that	-4.204693
actually	that's	-4.897840
actually	they	-3.106080
actually	they're	-4.204693
actually	this	-4.897840
actually	three	-4.897840
actually	time	-4.897840
actually	to	-3.799228
actually	uh	-4.204693
actually	um	-3.799228
actually	was	-2.125251
actually	we	-3.799228
actually	well	-3.288402
actually	were	-4.204693
actually	would	-3.799228
actually	wouldn't	-4.897840
actually	you	-3.799228
actually	you'd	-4.897840
acute	having	0.000000
adam	ok	0.000000
adamant	very	0.000000
adams	elissa	0.000000
adapt	to	0.000000
adapting	really	0.000000
add	and	-1.609438
add	could	-2.302585
add	definitely	-2.302585
add	probably	-2.302585
add	to	-1.609438
add	will	-2.302585
add	would	-2.302585
add	you	-2.302585
added	added	-2.079442
added	and	-2.079442
added	are	-2.079442
added	getting	-2.079442
added	read	-2.079442
added	she	-2.079442
added	the	-2.079442
added	them	-2.079442
addict	heron	0.000000
adding	that's	-0.693147
adding	were	-0.693147
addition	in	0.000000
address	certain	-2.079442
address	the	-0.133531
adds	and	-1.098612
