article	-12.113480
articles	-10.727186
articulate	-12.113480
artifact	-12.113480
artist	-9.810895
artistic	-11.420333
artists	-10.167570
as	-5.769600
ascended	-12.113480
ashbrook	-12.113480
ashen	-12.113480
ashes	-11.420333
asheville	-10.504042
ashley	-12.113480
ashtray	-12.113480
asian	-11.014868
aside	-11.014868
asimov	-11.014868
ask	-8.106147
asked	-8.002606
asking	-9.022438
asks	-11.420333
asleep	-10.727186
aspect	-9.810895
aspects	-11.014868
asphalt	-12.113480
aspiring	-12.113480
ass	-11.420333
assembled	-11.420333
assembling	-12.113480
assembly	-12.113480
assesses	-12.113480
assets	-11.420333
assigned	-10.727186
assignments	-11.420333
assimilate	-12.113480
assimilated	-12.113480
assistance	-12.113480
assistant	-9.916256
assistants	-12.113480
assistantship	-12.113480
associated	-11.014868
association	-12.113480
associations	-12.113480
assume	-12.113480
assumed	-11.014868
assure	-12.113480
astounded	-12.113480
astronauts	-12.113480
astronomy	-12.113480
at	-5.363549
ate	-9.223109
ateltisate	-12.113480
atheist	-12.113480
athlete	-12.113480
athletes	-11.420333
athletic	-11.014868
atkins	-12.113480
atlanta	-11.014868
atlantic	-12.113480
atlas	-12.113480
atm	-12.113480
atmosphere	-12.113480
atomic	-11.420333
atrium	-12.113480
attach	-11.420333
attached	-11.014868
attachments	-12.113480
attack	-11.014868
attacked	-11.420333
attacks	-12.113480
attempted	-12.113480
attempts	-12.113480
attend	-11.014868
attendant	-11.014868
attending	-12.113480
attention	-9.405430
attic	-11.420333
attitude	-10.321721
attitudes	-10.727186
attorney	-11.420333
attracted	-10.727186
attraction	-12.113480
attractions	-12.113480
attractive	-11.014868
attributes	-12.113480
auction	-12.113480
audience	-11.014868
audition	-12.113480
auditorium	-12.113480
audra	-11.014868
audrey	-12.113480
august	-10.034039
augusta	-9.548531
aunt	-8.162237
aunt's	-12.113480
aunts	-9.474423
austrian	-12.113480
author	-9.810895
author's	-11.420333
authority	-12.113480
authorized	-12.113480
authors	-9.715585
autistic	-11.420333
automatic	-11.420333
automatically	-11.420333
automobiles	-11.420333
available	-11.014868
avenue	-10.504042
average	-11.420333
averetts	-12.113480
averitt	-12.113480
avid	-12.113480
avis	-10.727186
avoided	-12.113480
aw	-11.420333
awake	-12.113480
award	-10.727186
awarded	-12.113480
aware	-11.420333
away	-7.570185
awe	-12.113480
awesome	-10.167570
awful	-9.810895
awfully	-11.420333
awhile	-10.321721
awkward	-10.727186
awning	-11.014868
ax	-12.113480
axle	-12.113480
axles	-12.113480
ayn	-12.113480
azul	-12.113480
b's	-12.113480
b-52s	-12.113480
ba	-12.113480
babe	-10.034039
babies	-11.420333
baby	-8.935426
baby's	-12.113480
babysitter	-12.113480
back	-5.975753
backed	-10.504042
background	-9.117748
backing	-11.420333
backs	-11.420333
backstreet	-11.420333
backup	-12.113480
backwards	-10.727186
backyard	-10.321721
bad	-8.106147
badge	-11.420333
badly	-11.420333
bag	-9.916256
baggage	-11.420333
bags	-10.727186
bahamas	-12.113480
bail	-11.420333
bailiff	-12.113480
bake	-11.420333
baked	-12.113480
bakery	-11.014868
baking	-10.727186
balance	-10.321721
balanced	-12.113480
balcony	-12.113480
bald	-11.420333
bald-headed	-11.420333
baldwin	-12.113480
bale	-12.113480
ball	-9.628574
ballerina	-11.420333
ballet	-11.420333
balls	-11.014868
baltimore	-11.420333
bambi	-12.113480
band	-10.034039
band-aid	-12.113480
band-aids	-11.420333
